symbol,date,open,high,low,close
GOOGL,2026-01-16 16:00:00,329.9800,330.1000,315.9200,330.0000
GOOGL,2026-01-16 15:55:00,329.8400,330.2100,329.7800,329.9800
GOOGL,2026-01-16 15:50:00,329.6100,330.0600,329.0400,329.8600
GOOGL,2026-01-16 15:45:00,329.5400,329.6700,329.3950,329.5401
GOOGL,2026-01-16 15:40:00,329.5000,329.7500,329.3101,329.5500
GOOGL,2026-01-16 15:35:00,329.3100,329.6500,329.2300,329.4800
GOOGL,2026-01-16 15:30:00,329.5500,329.6300,329.2700,329.3100
GOOGL,2026-01-16 15:25:00,329.7273,329.8400,329.5000,329.5650
GOOGL,2026-01-16 15:20:00,329.7200,329.8900,329.5200,329.7300
GOOGL,2026-01-16 15:15:00,329.5307,329.7999,329.4700,329.7275
GOOGL,2026-01-16 15:10:00,329.5250,329.5900,329.4300,329.5400
GOOGL,2026-01-16 15:05:00,329.3900,329.5800,329.2000,329.5500
GOOGL,2026-01-16 15:00:00,329.6400,329.7700,329.3900,329.4050
GOOGL,2026-01-16 14:55:00,330.0100,330.0600,329.6550,329.6600
GOOGL,2026-01-16 14:50:00,329.6150,330.1000,329.6150,330.0250
GOOGL,2026-01-16 14:45:00,329.5650,329.8700,329.5650,329.6100
GOOGL,2026-01-16 14:40:00,329.5100,329.7650,329.4201,329.5800
GOOGL,2026-01-16 14:35:00,329.5700,329.6700,329.3700,329.4600
GOOGL,2026-01-16 14:30:00,329.3400,329.8100,329.2900,329.5500
GOOGL,2026-01-16 14:25:00,329.2600,329.4300,329.1501,329.3600
GOOGL,2026-01-16 14:20:00,329.1200,329.3900,329.1101,329.2700
GOOGL,2026-01-16 14:15:00,328.8600,329.2300,328.8300,329.1400
GOOGL,2026-01-16 14:10:00,329.2100,329.2100,328.5500,328.9000
GOOGL,2026-01-16 14:05:00,328.9100,329.3500,328.8600,329.2100
GOOGL,2026-01-16 14:00:00,328.6900,328.9100,328.4800,328.9100
GOOGL,2026-01-16 13:55:00,328.9700,329.0800,328.6400,328.7100
GOOGL,2026-01-16 13:50:00,329.2600,329.3000,328.9200,328.9900
GOOGL,2026-01-16 13:45:00,329.1354,329.3900,329.1100,329.2600
GOOGL,2026-01-16 13:40:00,329.0200,329.1500,328.7300,329.1100
GOOGL,2026-01-16 13:35:00,329.4600,329.5000,328.8950,329.0300
GOOGL,2026-01-16 13:30:00,329.5000,329.6600,329.2900,329.4650
GOOGL,2026-01-16 13:25:00,329.8600,329.8600,329.4600,329.5031
GOOGL,2026-01-16 13:20:00,329.6700,329.9700,329.5300,329.8727
GOOGL,2026-01-16 13:15:00,329.3800,329.8000,329.2950,329.6800
GOOGL,2026-01-16 13:10:00,329.6050,329.8100,329.3600,329.3800
GOOGL,2026-01-16 13:05:00,329.4850,329.6694,329.0100,329.6100
GOOGL,2026-01-16 13:00:00,327.8900,329.6800,327.8700,329.5000
